country,country_code,gold_accumulation_score,gold_share_pct,gold_tonnes_yoy,buy_frequency_5yr,accumulation_streak,gold_share_3yr_trend,un_divergence_score,sanctions_score,geo_risk_tier,geo_bloc,pillar_momentum,pillar_consistency,pillar_geo,pillar_alloc,sanctions_bonus
Qatar,QAT,100.0,32.91,4.391485000000003,5,11,11.853333333333333,50.0,0,medium,neutral,83.82716049382717,82.71604938271605,50.617283950617285,64.44444444444444,0
Uzbekistan,UZB,93.8,86.35,7.780251000000021,5,12,17.71,50.0,0,medium,neutral,79.75308641975309,84.5679012345679,50.617283950617285,56.54320987654321,0
Iraq,IRQ,88.8,27.14,11.974743999999987,5,10,7.243333333333334,50.0,0,medium,neutral,89.44444444444443,62.34567901234568,50.617283950617285,60.24691358024691,0
Bulgaria,BGR,86.2,68.31,2.052813999999998,5,10,21.180000000000003,50.0,0,medium,neutral,83.58024691358024,62.34567901234568,50.617283950617285,64.19753086419752,0
China,CHN,85.7,9.63,26.748779000000013,5,11,3.0200000000000005,50.0,0,medium,neutral,72.8395061728395,82.71604938271605,50.617283950617285,53.82716049382716,0
"Egypt, Arab Rep.",EGY,85.0,41.49,2.4767500000000098,5,10,14.440000000000001,50.0,0,medium,neutral,81.48148148148148,62.34567901234568,50.617283950617285,64.93827160493827,0
Algeria,DZA,82.6,34.82,0.0,5,10,5.546666666666667,50.0,0,medium,neutral,88.88888888888889,62.34567901234568,50.617283950617285,49.38271604938271,0
Belgium,BEL,82.2,59.61,0.0,5,10,12.39,50.0,0,medium,neutral,82.09876543209876,62.34567901234568,50.617283950617285,58.76543209876542,0
India,IND,75.8,19.39,4.158903000000009,5,10,5.78,50.0,0,medium,neutral,72.22222222222221,62.34567901234568,50.617283950617285,61.48148148148148,0
Lebanon,LBN,73.0,82.39,0.0,5,10,27.9,50.0,0,medium,neutral,69.1358024691358,62.34567901234568,50.617283950617285,60.74074074074073,0
